OBS_TIME_LOC,HT,LONG,LAT,time
2005-12-01 15:00:00,1.745,153.4772,-28.50470000000001,2005-12-01 15:00:00
2005-12-01 16:00:00,1.745,153.4772,-28.50470000000001,2005-12-01 16:00:00
2005-12-01 17:00:00,1.745,153.4772,-28.5047,2005-12-01 17:00:00
2005-12-01 18:00:00,1.7400000000000002,153.4772,-28.5047,2005-12-01 18:00:00
2005-12-01 19:00:00,1.7175,153.4772,-28.504700000000003,2005-12-01 19:00:00
2005-12-01 20:00:00,1.7,153.4772,-28.5047,2005-12-01 20:00:00
2005-12-01 21:00:00,1.6833333333333331,153.4772,-28.504700000000003,2005-12-01 21:00:00
2005-12-01 22:00:00,1.6666666666666667,153.4772,-28.5047,2005-12-01 22:00:00
2005-12-01 23:00:00,1.6479999999999997,153.4772,-28.5047,2005-12-01 23:00:00
2005-12-02 00:00:00,1.6225,153.4772,-28.5047,2005-12-02 00:00:00
2005-12-02 01:00:00,1.6225,153.4772,-28.5047,2005-12-02 01:00:00
2005-12-02 02:00:00,1.6225,153.4772,-28.5047,2005-12-02 02:00:00
2005-12-02 03:00:00,1.6225,153.4772,-28.504700000000003,2005-12-02 03:00:00
2005-12-02 04:00:00,1.6225,153.4772,-28.504700000000003,2005-12-02 04:00:00
2005-12-02 05:00:00,1.6225,153.4772,-28.5047,2005-12-02 05:00:00
2005-12-02 06:00:00,1.538,153.4772,-28.5047,2005-12-02 06:00:00
2005-12-02 07:00:00,1.538,153.4772,-28.5047,2005-12-02 07:00:00
2005-12-02 08:00:00,1.538,153.4772,-28.504700000000003,2005-12-02 08:00:00
2005-12-02 09:00:00,1.538,153.4772,-28.50470000000001,2005-12-02 09:00:00
2005-12-02 10:00:00,1.538,153.4772,-28.504700000000003,2005-12-02 10:00:00
2005-12-02 11:00:00,1.538,153.4772,-28.50470000000001,2005-12-02 11:00:00
2005-12-02 12:00:00,1.5200000000000002,153.4772,-28.50470000000001,2005-12-02 12:00:00
2005-12-02 13:00:00,1.5676923076923082,153.4772,-28.504700000000003,2005-12-02 13:00:00
2005-12-02 14:00:00,1.63,153.4772,-28.5047,2005-12-02 14:00:00
2005-12-02 15:00:00,1.66,153.4772,-28.504700000000003,2005-12-02 15:00:00
2005-12-02 16:00:00,1.685,153.4772,-28.50470000000001,2005-12-02 16:00:00
2005-12-02 17:00:00,1.685,153.4772,-28.50470000000001,2005-12-02 17:00:00
2005-12-02 18:00:00,1.685,153.4772,-28.5047,2005-12-02 18:00:00
2005-12-02 19:00:00,1.685,153.4772,-28.5047,2005-12-02 19:00:00
2005-12-02 20:00:00,1.685,153.4772,-28.5047,2005-12-02 20:00:00
2005-12-02 21:00:00,1.685,153.4772,-28.5047,2005-12-02 21:00:00
2005-12-02 22:00:00,1.685,153.4772,-28.5047,2005-12-02 22:00:00
2005-12-02 23:00:00,1.685,153.4772,-28.5047,2005-12-02 23:00:00
2005-12-03 00:00:00,1.645,153.4772,-28.504700000000003,2005-12-03 00:00:00
2005-12-03 01:00:00,1.65,153.4772,-28.5047,2005-12-03 01:00:00
2005-12-03 02:00:00,1.65,153.4772,-28.5047,2005-12-03 02:00:00
2005-12-03 03:00:00,1.65,153.4772,-28.504700000000003,2005-12-03 03:00:00
2005-12-03 04:00:00,1.643333333333333,153.4772,-28.5047,2005-12-03 04:00:00
2005-12-03 05:00:00,1.5983333333333334,153.4772,-28.5047,2005-12-03 05:00:00
2005-12-03 06:00:00,1.55,153.4772,-28.5047,2005-12-03 06:00:00
2005-12-03 07:00:00,1.54,153.4772,-28.5047,2005-12-03 07:00:00
2005-12-03 08:00:00,1.525,153.4772,-28.504700000000003,2005-12-03 08:00:00
2005-12-03 09:00:00,1.525,153.4772,-28.50470000000001,2005-12-03 09:00:00
2005-12-03 10:00:00,1.525,153.4772,-28.50470000000001,2005-12-03 10:00:00
2005-12-03 11:00:00,1.5480000000000005,153.4772,-28.50470000000001,2005-12-03 11:00:00
2005-12-03 12:00:00,1.595,153.4772,-28.50470000000001,2005-12-03 12:00:00
2005-12-03 13:00:00,1.66,153.4772,-28.50470000000001,2005-12-03 13:00:00
2005-12-03 14:00:00,1.725,153.4772,-28.50470000000001,2005-12-03 14:00:00
2005-12-03 15:00:00,1.78,153.4772,-28.504700000000003,2005-12-03 15:00:00
2005-12-03 16:00:00,1.825,153.4772,-28.5047,2005-12-03 16:00:00
2005-12-03 17:00:00,1.86,153.4772,-28.50470000000001,2005-12-03 17:00:00
2005-12-03 18:00:00,1.86,153.4772,-28.50470000000001,2005-12-03 18:00:00
2005-12-03 19:00:00,1.86,153.47719999999995,-28.50470000000001,2005-12-03 19:00:00
2005-12-03 20:00:00,1.8422222222222218,153.4772,-28.50470000000001,2005-12-03 20:00:00
2005-12-03 21:00:00,1.7850000000000004,153.4772,-28.50470000000001,2005-12-03 21:00:00
2005-12-03 22:00:00,1.715,153.4772,-28.50470000000001,2005-12-03 22:00:00
2005-12-03 23:00:00,1.655,153.4772,-28.50470000000001,2005-12-03 23:00:00
2005-12-04 00:00:00,1.617142857142857,153.4772,-28.50470000000001,2005-12-04 00:00:00
